"recipe.id","spec.recipe.id","registry.tag","geometry.id","sampling.id","truth.id","response.id","compatibility.recipe","metadata","specification.sha256","status","version"
"S01.V1","S01.V1","S01_V1","geometry.quadform.b4264ce17c641b34","sampling.uniform.interval.a664af5a729cb000","truth.gaussian.mixture.a1d5a7a4838acd58","response.gaussian.4c22d3ba71f3da72","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S01""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two separated narrow equal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V1""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""uniform gaussian""]}}}","af569822dbd9eff240c9374eb780a8f035a3ee981d255ac92bc3b4c94d38e582","active",1
"S01.V2","S01.V2","S01_V2","geometry.quadform.b4264ce17c641b34","sampling.truncated.normal.4c48fa6150152e62","truth.gaussian.mixture.a1d5a7a4838acd58","response.heteroskedastic.gaussian.5b23d1c90f252d83","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S01""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two separated narrow equal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V2""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""center-biased heteroskedastic""]}}}","96148fa493db3eef85c0ce9e61bd1ebec249db2d97ac7481cff8cfc35224cac7","active",1
"S01.V3","S01.V3","S01_V3","geometry.quadform.b4264ce17c641b34","sampling.gapped.uniform.b9f776812211bcab","truth.gaussian.mixture.a1d5a7a4838acd58","response.laplace.outlier.6f1f6c61f3c23a88","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S01""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two separated narrow equal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V3""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""gap-biased laplace outliers""]}}}","253525691accf49afde109db4a0b811bf9e3677bcae59d2d4d397e7a2f40a157","active",1
"S02.V1","S02.V1","S02_V1","geometry.quadform.b4264ce17c641b34","sampling.uniform.interval.a664af5a729cb000","truth.gaussian.mixture.e8d52ba9f34840d3","response.gaussian.4c22d3ba71f3da72","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S02""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two separated unequal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V1""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""uniform gaussian""]}}}","efade8f1b1521ba78a571f990f400f9505d4ddec9e8087eb1fc2c71275d99ad9","active",1
"S02.V2","S02.V2","S02_V2","geometry.quadform.b4264ce17c641b34","sampling.truncated.normal.4c48fa6150152e62","truth.gaussian.mixture.e8d52ba9f34840d3","response.heteroskedastic.gaussian.5b23d1c90f252d83","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S02""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two separated unequal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V2""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""center-biased heteroskedastic""]}}}","654e3116c70daa45ef0a651c6dccef4d94f74aeb766461f6ef25cbbb448d0c76","active",1
"S02.V3","S02.V3","S02_V3","geometry.quadform.b4264ce17c641b34","sampling.gapped.uniform.b9f776812211bcab","truth.gaussian.mixture.e8d52ba9f34840d3","response.laplace.outlier.6f1f6c61f3c23a88","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S02""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two separated unequal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V3""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""gap-biased laplace outliers""]}}}","f328002a30d3955f94c347d36d1c770db130c2d9d40374829224f64afda27f6b","active",1
"S03.V1","S03.V1","S03_V1","geometry.quadform.b4264ce17c641b34","sampling.uniform.interval.a664af5a729cb000","truth.gaussian.mixture.daa72adcef7c5e63","response.gaussian.4c22d3ba71f3da72","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S03""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two close overlapping equal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V1""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""uniform gaussian""]}}}","26cc0202f380b53d470d5df66757b0a8f4be5801c1d73f5f335ad97d16ba0fef","active",1
"S03.V2","S03.V2","S03_V2","geometry.quadform.b4264ce17c641b34","sampling.truncated.normal.4c48fa6150152e62","truth.gaussian.mixture.daa72adcef7c5e63","response.heteroskedastic.gaussian.5b23d1c90f252d83","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S03""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two close overlapping equal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V2""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""center-biased heteroskedastic""]}}}","8301f478a86c04aac580d39dcae474edbf04fa758f46793e1562a01c0553f705","active",1
"S03.V3","S03.V3","S03_V3","geometry.quadform.b4264ce17c641b34","sampling.gapped.uniform.b9f776812211bcab","truth.gaussian.mixture.daa72adcef7c5e63","response.laplace.outlier.6f1f6c61f3c23a88","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S03""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two close overlapping equal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V3""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""gap-biased laplace outliers""]}}}","3a0dc6f725f21eff5040abce74f4847368492731e4c4a7088306005101f80214","active",1
"S04.V1","S04.V1","S04_V1","geometry.quadform.b4264ce17c641b34","sampling.uniform.interval.a664af5a729cb000","truth.gaussian.mixture.cf82df869cad0674","response.gaussian.4c22d3ba71f3da72","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S04""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two close overlapping unequal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V1""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""uniform gaussian""]}}}","9eaf3f53ef307b72a72a95651777ef5881d0f9ad60b7f6c24e01198abfe3620d","active",1
"S04.V2","S04.V2","S04_V2","geometry.quadform.b4264ce17c641b34","sampling.truncated.normal.4c48fa6150152e62","truth.gaussian.mixture.cf82df869cad0674","response.heteroskedastic.gaussian.5b23d1c90f252d83","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S04""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two close overlapping unequal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V2""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""center-biased heteroskedastic""]}}}","6e8b844f5fa283f0ac609e1b925298b9ff442075313e52812e816566d04be758","active",1
"S04.V3","S04.V3","S04_V3","geometry.quadform.b4264ce17c641b34","sampling.gapped.uniform.b9f776812211bcab","truth.gaussian.mixture.cf82df869cad0674","response.laplace.outlier.6f1f6c61f3c23a88","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S04""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""two close overlapping unequal""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V3""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""gap-biased laplace outliers""]}}}","501b2adec65719d0767007934608d7d082629f57b3d10aacc82a3e0ae28af15d","active",1
"S05.V1","S05.V1","S05_V1","geometry.quadform.b4264ce17c641b34","sampling.uniform.interval.a664af5a729cb000","truth.gaussian.mixture.59651d52c9b9714e","response.gaussian.4c22d3ba71f3da72","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S05""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""narrow left plus broad right""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V1""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""uniform gaussian""]}}}","6cbb7d0033334d9cce0298e4a8de3fdee8f2c09a4091dcf9c60de3c8a31a33a9","active",1
"S05.V2","S05.V2","S05_V2","geometry.quadform.b4264ce17c641b34","sampling.truncated.normal.4c48fa6150152e62","truth.gaussian.mixture.59651d52c9b9714e","response.heteroskedastic.gaussian.5b23d1c90f252d83","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S05""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""narrow left plus broad right""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V2""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""center-biased heteroskedastic""]}}}","b5f51a2d9ef11c70687ca53a296fee9a2e9270aaec22b56e4a6708a5d6deda1f","active",1
"S05.V3","S05.V3","S05_V3","geometry.quadform.b4264ce17c641b34","sampling.gapped.uniform.b9f776812211bcab","truth.gaussian.mixture.59651d52c9b9714e","response.laplace.outlier.6f1f6c61f3c23a88","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S05""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""narrow left plus broad right""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V3""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""gap-biased laplace outliers""]}}}","15cfd8fb7b7f12e2f4dc4c264d5c584f0baec59b17c7cc3901de4cb66f9094e3","active",1
"S06.V1","S06.V1","S06_V1","geometry.quadform.b4264ce17c641b34","sampling.uniform.interval.a664af5a729cb000","truth.gaussian.mixture.3763d5b59081417a","response.gaussian.4c22d3ba71f3da72","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S06""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""broad left plus narrow right""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V1""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""uniform gaussian""]}}}","2a5f76d52d4e14ea506b7ae1ba563d599bc8f9208642a8b021299023c7878918","active",1
"S06.V2","S06.V2","S06_V2","geometry.quadform.b4264ce17c641b34","sampling.truncated.normal.4c48fa6150152e62","truth.gaussian.mixture.3763d5b59081417a","response.heteroskedastic.gaussian.5b23d1c90f252d83","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S06""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""broad left plus narrow right""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V2""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""center-biased heteroskedastic""]}}}","1bf1a919cc004f5b517c1bc1ccb12ed8b274f60d4ff63c24278ffddc4002b42e","active",1
"S06.V3","S06.V3","S06_V3","geometry.quadform.b4264ce17c641b34","sampling.gapped.uniform.b9f776812211bcab","truth.gaussian.mixture.3763d5b59081417a","response.laplace.outlier.6f1f6c61f3c23a88","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S06""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""broad left plus narrow right""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V3""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""gap-biased laplace outliers""]}}}","3c2bcda3327235369e133486ee1fe63a30c4026e4cdebe7cfec2696fb5c2ca9e","active",1
"S07.V1","S07.V1","S07_V1","geometry.quadform.b4264ce17c641b34","sampling.uniform.interval.a664af5a729cb000","truth.gaussian.mixture.abfa5f03e03006f8","response.gaussian.4c22d3ba71f3da72","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S07""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""left boundary plus interior""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V1""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""uniform gaussian""]}}}","58c08a8e751371fee9035a6c1e7eaf42a16640df657a40bdce4976b91de5504e","active",1
"S07.V2","S07.V2","S07_V2","geometry.quadform.b4264ce17c641b34","sampling.truncated.normal.4c48fa6150152e62","truth.gaussian.mixture.abfa5f03e03006f8","response.heteroskedastic.gaussian.5b23d1c90f252d83","{""type"":""list"",""names"":[""seed.policy"",""source""],""values"":{""seed.policy"":{""type"":""character"",""names"":null,""values"":[""ssrhe.1d.v1""]},""source"":{""type"":""character"",""names"":null,""values"":[""ssrhe_order3_l1_validation_helpers.R""]}}}","{""type"":""list"",""names"":[""shape.id"",""shape.name"",""variant.id"",""variant.name""],""values"":{""shape.id"":{""type"":""character"",""names"":null,""values"":[""S07""]},""shape.name"":{""type"":""character"",""names"":null,""values"":[""left boundary plus interior""]},""variant.id"":{""type"":""character"",""names"":null,""values"":[""V2""]},""variant.name"":{""type"":""character"",""names"":null,""values"":[""center-biased heteroskedastic""]}}}","8e1ed7955dbcca7b729a75889888e0de8003583b5941460431c9a5b07fe4c458","active",1
